municipality,state,obs_date,temp_max_c,temp_min_c,precipitation_mm,humidity_pct
Cascavel,PR,2023-01-01,29.5,20.4,117.5,66.2
Cascavel,PR,2023-01-31,28.5,18.0,147.7,56.3
Cascavel,PR,2023-03-02,20.6,7.4,144.3,73.1
Cascavel,PR,2023-04-01,21.4,12.4,193.9,77.3
Cascavel,PR,2023-05-01,19.1,8.6,130.9,82.8
Cascavel,PR,2023-05-31,25.3,15.9,127.8,80.7
Cascavel,PR,2023-06-30,23.2,11.5,99.6,84.5
Cascavel,PR,2023-07-30,25.0,16.6,247.5,60.3
Cascavel,PR,2023-08-29,25.6,13.2,102.4,56.5
Cascavel,PR,2023-09-28,24.0,11.8,131.7,56.0
Cascavel,PR,2023-10-28,17.3,6.2,90.6,72.7
Cascavel,PR,2023-11-27,22.3,10.7,114.7,62.2
Toledo,PR,2023-01-01,27.2,14.9,168.2,68.8
Toledo,PR,2023-01-31,33.1,23.7,124.3,72.1
Toledo,PR,2023-03-02,18.4,7.4,133.2,79.4
Toledo,PR,2023-04-01,20.9,10.6,145.7,47.3
Toledo,PR,2023-05-01,29.0,15.7,171.4,70.7
Toledo,PR,2023-05-31,18.8,9.1,171.6,66.0
Toledo,PR,2023-06-30,21.0,11.3,164.6,64.9
Toledo,PR,2023-07-30,22.2,13.2,176.0,69.1
Toledo,PR,2023-08-29,20.9,11.5,125.3,71.2
Toledo,PR,2023-09-28,23.3,12.0,109.6,71.7
Toledo,PR,2023-10-28,21.3,8.0,131.7,65.6
Toledo,PR,2023-11-27,21.5,10.6,161.1,63.4
Marechal Cândido Rondon,PR,2023-01-01,26.6,16.0,259.1,67.1
Marechal Cândido Rondon,PR,2023-01-31,28.5,17.8,209.1,64.2
Marechal Cândido Rondon,PR,2023-03-02,23.3,10.0,127.7,67.7
Marechal Cândido Rondon,PR,2023-04-01,22.1,13.3,126.8,86.6
Marechal Cândido Rondon,PR,2023-05-01,27.3,14.8,122.2,72.7
Marechal Cândido Rondon,PR,2023-05-31,23.2,14.3,111.9,81.4
Marechal Cândido Rondon,PR,2023-06-30,21.6,13.2,65.6,64.0
Marechal Cândido Rondon,PR,2023-07-30,16.1,7.9,203.1,81.2
Marechal Cândido Rondon,PR,2023-08-29,20.1,8.8,135.7,79.3
Marechal Cândido Rondon,PR,2023-09-28,18.4,4.7,113.8,66.6
