property_id,municipality,state,culture,area_ha,obs_date,ndvi_mean,ndvi_std,evi_mean,cloud_cover_pct,satellite
PR-0001,Toledo,PR,soja,2237.6,2023-01-01,0.747,0.092,0.631,0.7,Sentinel-2
PR-0001,Toledo,PR,soja,2237.6,2023-01-31,0.531,0.056,0.464,2.0,Sentinel-2
PR-0001,Toledo,PR,soja,2237.6,2023-03-02,0.697,0.06,0.615,6.3,Sentinel-2
PR-0001,Toledo,PR,soja,2237.6,2023-04-01,0.857,0.065,0.772,13.3,Sentinel-2
PR-0001,Toledo,PR,soja,2237.6,2023-05-01,0.821,0.061,0.708,1.4,Sentinel-2
PR-0001,Toledo,PR,soja,2237.6,2023-05-31,0.554,0.077,0.477,0.8,Sentinel-2
PR-0001,Toledo,PR,soja,2237.6,2023-06-30,0.799,0.082,0.666,10.5,Sentinel-2
PR-0001,Toledo,PR,soja,2237.6,2023-07-30,0.53,0.01,0.449,3.8,Sentinel-2
PR-0001,Toledo,PR,soja,2237.6,2023-08-29,0.462,0.048,0.373,6.9,Sentinel-2
PR-0001,Toledo,PR,soja,2237.6,2023-09-28,0.585,0.058,0.503,2.1,Sentinel-2
PR-0001,Toledo,PR,soja,2237.6,2023-10-28,0.71,0.068,0.619,2.6,Sentinel-2
PR-0001,Toledo,PR,soja,2237.6,2023-11-27,0.766,0.047,0.652,3.7,Sentinel-2
PR-0002,Palotina,PR,trigo,2120.4,2023-01-01,0.598,0.052,0.519,3.8,Sentinel-2
PR-0002,Palotina,PR,trigo,2120.4,2023-01-31,0.585,0.089,0.507,6.5,Sentinel-2
PR-0002,Palotina,PR,trigo,2120.4,2023-03-02,0.565,0.025,0.494,0.3,Sentinel-2
PR-0002,Palotina,PR,trigo,2120.4,2023-04-01,0.572,0.054,0.512,1.9,Sentinel-2
PR-0002,Palotina,PR,trigo,2120.4,2023-05-01,0.781,0.046,0.668,4.0,Sentinel-2
PR-0002,Palotina,PR,trigo,2120.4,2023-05-31,0.717,0.079,0.613,2.5,Sentinel-2
PR-0002,Palotina,PR,trigo,2120.4,2023-06-30,0.573,0.086,0.496,18.2,Sentinel-2
PR-0002,Palotina,PR,trigo,2120.4,2023-07-30,0.715,0.049,0.631,48.1,Sentinel-2
PR-0002,Palotina,PR,trigo,2120.4,2023-08-29,0.522,0.059,0.463,7.9,Sentinel-2
PR-0002,Palotina,PR,trigo,2120.4,2023-09-28,0.665,0.065,0.559,0.5,Sentinel-2
PR-0002,Palotina,PR,trigo,2120.4,2023-10-28,0.38,0.105,0.278,15.8,Sentinel-2
PR-0002,Palotina,PR,trigo,2120.4,2023-11-27,0.597,0.092,0.521,9.2,Sentinel-2
PR-0003,Ponta Grossa,PR,trigo,2317.4,2023-01-01,0.74,0.074,0.596,16.7,Sentinel-2
PR-0003,Ponta Grossa,PR,trigo,2317.4,2023-01-31,0.728,0.058,0.657,1.6,Sentinel-2
PR-0003,Ponta Grossa,PR,trigo,2317.4,2023-03-02,0.84,0.039,0.722,7.5,Sentinel-2
PR-0003,Ponta Grossa,PR,trigo,2317.4,2023-04-01,0.8,0.079,0.724,6.2,Sentinel-2
PR-0003,Ponta Grossa,PR,trigo,2317.4,2023-05-01,0.594,0.036,0.535,0.2,Sentinel-2
PR-0003,Ponta Grossa,PR,trigo,2317.4,2023-05-31,0.57,0.097,0.479,14.3,Sentinel-2
PR-0003,Ponta Grossa,PR,trigo,2317.4,2023-06-30,0.557,0.066,0.519,0.7,Sentinel-2
PR-0003,Ponta Grossa,PR,trigo,2317.4,2023-07-30,0.385,0.052,0.336,11.4,Sentinel-2
PR-0003,Ponta Grossa,PR,trigo,2317.4,2023-08-29,0.576,0.05,0.476,2.5,Sentinel-2
PR-0003,Ponta Grossa,PR,trigo,2317.4,2023-09-28,0.671,0.075,0.569,1.9,Sentinel-2
PR-0003,Ponta Grossa,PR,trigo,2317.4,2023-10-28,0.477,0.052,0.421,42.6,Sentinel-2
PR-0003,Ponta Grossa,PR,trigo,2317.4,2023-11-27,0.741,0.047,0.627,5.8,Sentinel-2
PR-0004,Toledo,PR,milho,712.9,2023-01-01,0.831,0.063,0.721,9.8,Sentinel-2
PR-0004,Toledo,PR,milho,712.9,2023-01-31,0.672,0.067,0.588,0.3,Sentinel-2
PR-0004,Toledo,PR,milho,712.9,2023-03-02,0.61,0.081,0.527,6.2,Sentinel-2
PR-0004,Toledo,PR,milho,712.9,2023-04-01,0.816,0.053,0.669,6.9,Sentinel-2
PR-0004,Toledo,PR,milho,712.9,2023-05-01,0.606,0.083,0.52,8.6,Sentinel-2
PR-0004,Toledo,PR,milho,712.9,2023-05-31,0.629,0.047,0.564,16.0,Sentinel-2
PR-0004,Toledo,PR,milho,712.9,2023-06-30,0.765,0.07,0.661,10.4,Sentinel-2
PR-0004,Toledo,PR,milho,712.9,2023-07-30,0.566,0.063,0.484,1.7,Sentinel-2
PR-0004,Toledo,PR,milho,712.9,2023-08-29,0.536,0.058,0.475,16.6,Sentinel-2
PR-0004,Toledo,PR,milho,712.9,2023-09-28,0.802,0.092,0.715,15.5,Sentinel-2
PR-0004,Toledo,PR,milho,712.9,2023-10-28,0.822,0.077,0.712,0.8,Sentinel-2
PR-0004,Toledo,PR,milho,712.9,2023-11-27,0.675,0.06,0.572,4.2,Sentinel-2
PR-0005,Maringá,PR,milho,2600.7,2023-01-01,0.684,0.061,0.56,12.3,Sentinel-2
PR-0005,Maringá,PR,milho,2600.7,2023-01-31,0.854,0.053,0.773,10.5,Sentinel-2
PR-0005,Maringá,PR,milho,2600.7,2023-03-02,0.717,0.031,0.611,2.0,Sentinel-2
PR-0005,Maringá,PR,milho,2600.7,2023-04-01,0.687,0.09,0.609,0.5,Sentinel-2
PR-0005,Maringá,PR,milho,2600.7,2023-05-01,0.585,0.066,0.465,6.1,Sentinel-2
PR-0005,Maringá,PR,milho,2600.7,2023-05-31,0.639,0.082,0.564,15.2,Sentinel-2
PR-0005,Maringá,PR,milho,2600.7,2023-06-30,0.641,0.063,0.571,22.7,Sentinel-2
